date,username,content,reply_count,retweet_count,like_count,view_count,tweet_url,total_engagement
2025-10-13 03:52:54+00:00,barengwarga,Dosa siapa??,1,18,0,6743,https://x.com/barengwarga/status/1977583296285745339,19
2025-10-13 03:37:13+00:00,barengwarga,Someone please get the rescue team! Banjir fakta.,5,163,0,17065,https://x.com/barengwarga/status/1977579350330605943,168
2025-10-13 03:33:40+00:00,barengwarga,"Kapan ya kita bisa lihat anggaran pendidikan yang segede itu lari buat kesejahteraan guru, supaya anak-anak dan adik-adik kita bisa bisa fokus belajar jadi manusia yang merdeka dan memanusiakan manusia lainnya?",6,338,0,14657,https://x.com/barengwarga/status/1977578457908617320,344
2025-10-12 03:59:34+00:00,barengwarga,"“Jangan campurkan olahraga dengan politik!”Kata orang yang dulu justru membawa olahraga ke panggung kampanye pilpres.

Hasilnya? Jadi Ketua Umum PSSI merangkap Menpora (sbelumnya rangkap sama BUMN)",76,1481,0,187356,https://x.com/barengwarga/status/1977222585965519225,1557
2025-10-11 13:55:44+00:00,barengwarga,Human error katanya ,32,259,0,149269,https://x.com/barengwarga/status/1977010229130019173,291
2025-10-11 11:40:37+00:00,barengwarga,"Ada klarifikasi katanya gini:

""kelebihan transfer sebanyak Rp 54 juta itu terjadi karena kesalahan aritmatika keuangan.""Itu human error. Saya minta maaf atas kesalahan di dalam transaksi pembayaran reses ini,"" 

kata Rahmad kepada Tempo, Jumat, 10 Oktober 2025. Wdyt?",3,25,0,37789,https://x.com/barengwarga/status/1976976228004532316,28
2025-10-11 08:26:24+00:00,barengwarga,"Seorang anak 16 tahun di Maluku diperkosa polisi. Korban diancam untuk cabut laporan. Pelakunya belum ditahan, padahal laporan udah masuk sejak 22 September.

Sementara kita selama ini bisa langsung ditangkap dan ditetapkan tersangka secara serampangan.

Hukum kita memang cepet",90,4353,0,255139,https://x.com/barengwarga/status/1976927348298858844,4443
2025-10-11 08:26:24+00:00,barengwarga,Berita selengkapnya:,1,10,0,13672,https://x.com/barengwarga/status/1976927352073732144,11
2025-10-11 07:58:31+00:00,barengwarga,Ngelanggar hukum disana juga katanya ,0,7,0,9983,https://x.com/barengwarga/status/1976920331555422462,7
2025-10-11 07:49:26+00:00,barengwarga,"Ada yg mau jastip kecap? 

Kalo surya sama magnum 3 slop NO NO ya   gak baik untuk kesehatan warga indonesia dan warga tunisia ",9,73,0,44832,https://x.com/barengwarga/status/1976918048058769702,82
2025-10-11 07:39:32+00:00,barengwarga,"Anak 14 tahun kerja jadi terapis? Halo? 
@KomnasPerempuan
 @KomnasHAM
 @KemnakerRI",10,655,0,66943,https://x.com/barengwarga/status/1976915556382261463,665
2025-10-10 15:36:39+00:00,barengwarga,"Mimin sih udah berdamai kalau apa yang diperjuangkan hari ini nggak akan mimin rasakan sendiri, atau bahkan belum tentu terjadi saat mimin masih hidup.

Tapi nggak apa-apa. Karena yang penting sekarang adalah terus berupaya dan memperbanyak kemungkinan.

kemungkinan dunia yang",10,577,0,41358,https://x.com/barengwarga/status/1976673238433587430,587
2025-10-10 13:11:45+00:00,barengwarga,"Hari ini telah dilaksanakan aksi solidaritas kepada kawan kita yang ditahan di Bandung, Very Kurnia  

Kami menuntut kepolisian untuk segera membebaskan Very dan seluruh tahanan massa aksi tanpa syarat #BebaskanKawanKami",3,105,0,22502,https://x.com/barengwarga/status/1976636771703341545,108
2025-10-10 13:05:37+00:00,barengwarga,"Mencerdaskan kehidupan bangsa, tapi jasanya cuma dihargai 50 ribu perbulan.  

COBA KASIH TAU KAMI GIMANA CARANYA 50 RIBU SEBULAN BISA HIDUP LAYAK?",42,3624,0,113323,https://x.com/barengwarga/status/1976635230997131398,3666
2025-10-10 13:01:34+00:00,barengwarga,"Support untuk masyarakat adat maba sangaji yang dikriminalisasi saat melindungi lingkungan kampungnya! Dukung disini  
@MurtadhoRoy",2,66,0,9104,https://x.com/barengwarga/status/1976634212104208644,68
2025-10-10 01:36:27+00:00,barengwarga,,4,25,0,15130,https://x.com/barengwarga/status/1976461797218787828,29
2025-10-10 01:35:27+00:00,barengwarga,Ekonomi kreatif katanya ,5,11,0,22489,https://x.com/barengwarga/status/1976461543102681391,16
2025-10-10 01:34:16+00:00,barengwarga,"PPI tunisia malak maba, ada yang malak magnum 3 slop ",29,357,0,81131,https://x.com/barengwarga/status/1976461243771912455,386
2025-10-09 17:57:45+00:00,barengwarga,"Ini bergizinya dimana? 
x.com/klepon_oren/st
…",53,632,0,64366,https://x.com/barengwarga/status/1976346358266445950,685
2025-10-09 17:55:26+00:00,barengwarga,"Empat puluh dua hari sejak aksi,
Farhan dan Reno masih hilang.",17,7443,0,288554,https://x.com/barengwarga/status/1976345775572681068,7460
2025-10-09 17:16:10+00:00,barengwarga,"Engga sadarkah kebijakan kementerian dia yang salah satunya bikin mimpi orang jadi pupus? 

Anak muda nyambat capek sama aja di sosmed aja kena gaslight bjir, seolah yang ngeluh itu nggak ngapa-ngapain.",15,716,0,48295,https://x.com/barengwarga/status/1976335892773278124,731
